# ell tt ee te bb
3.200000000000000000e+01 6.701340354705759950e+00 1.633715141193754815e-04 1.187295475628798516e-02 0.000000000000000000e+00
3.300000000000000000e+01 6.405010796637648163e+00 1.710291891629280839e-04 1.122561678031169970e-02 0.000000000000000000e+00
3.400000000000000000e+01 6.132415927607512529e+00 1.787705709116991528e-04 1.059115139456306628e-02 0.000000000000000000e+00
3.500000000000000000e+01 5.881079605834958812e+00 1.865882336655005328e-04 9.972207067369440181e-03 0.000000000000000000e+00
3.600000000000000000e+01 5.648457660998642105e+00 1.944336559468379569e-04 9.368661467895363429e-03 0.000000000000000000e+00
3.700000000000000000e+01 5.432511832036044375e+00 2.022670098589712849e-04 8.774138392404852438e-03 0.000000000000000000e+00
3.800000000000000000e+01 5.232137360335840981e+00 2.100697348014829088e-04 8.181411658265060061e-03 0.000000000000000000e+00
3.900000000000000000e+01 5.045832074562667025e+00 2.178473553053889684e-04 7.588948778188717333e-03 0.000000000000000000e+00
4.000000000000000000e+01 4.872135105595356563e+00 2.256095683520419309e-04 6.996664343343390706e-03 0.000000000000000000e+00
4.100000000000000000e+01 4.709710629324924014e+00 2.333620654488317988e-04 6.405489203702038198e-03 0.000000000000000000e+00
4.200000000000000000e+01 4.557564800212474232e+00 2.410988731561665389e-04 5.819768178791556550e-03 0.000000000000000000e+00
4.300000000000000000e+01 4.414812098842609167e+00 2.488120552633273910e-04 5.242579435438339715e-03 0.000000000000000000e+00
4.400000000000000000e+01 4.280775555424145118e+00 2.564945910864581142e-04 4.672158404476766357e-03 0.000000000000000000e+00
4.500000000000000000e+01 4.154869572978312497e+00 2.641561459985369191e-04 4.109246169353315652e-03 0.000000000000000000e+00
4.600000000000000000e+01 4.036231959224498844e+00 2.717983248666085106e-04 3.556625937937763372e-03 0.000000000000000000e+00
4.700000000000000000e+01 3.924081589350334021e+00 2.794092513565313947e-04 3.015963716478994600e-03 0.000000000000000000e+00
4.800000000000000000e+01 3.817990768387477196e+00 2.869616964953842272e-04 2.484858474612421358e-03 0.000000000000000000e+00
4.900000000000000000e+01 3.717683963021284566e+00 2.944321011371072230e-04 1.960517550555749590e-03 0.000000000000000000e+00
5.000000000000000000e+01 3.622986216094020495e+00 3.018265504080950711e-04 1.440998610782220348e-03 0.000000000000000000e+00
5.100000000000000000e+01 3.533455206322356990e+00 3.091454721037136346e-04 9.256487246920379851e-04 0.000000000000000000e+00
5.200000000000000000e+01 3.448465572072146657e+00 3.163845246687293730e-04 4.157669383182976573e-04 0.000000000000000000e+00
5.300000000000000000e+01 3.367482395342862755e+00 3.235326868679104409e-04 -8.723276710196988426e-05 0.000000000000000000e+00
5.400000000000000000e+01 3.290278094010162135e+00 3.305844178692846167e-04 -5.825937846496482718e-04 0.000000000000000000e+00
5.500000000000000000e+01 3.216705533008247464e+00 3.375388313365884022e-04 -1.070113855286975715e-03 0.000000000000000000e+00
5.600000000000000000e+01 3.146810750326388462e+00 3.443854019636075851e-04 -1.550709200090754887e-03 0.000000000000000000e+00
